0	-1	-20	0
0	-1	0	-420
0	-2	-20	-960
0	6	160	-1200
0	12	120	-600
0	12	0	520
0	20	160	1080
0	24	80	1180
0	33	180	1280
0	48	300	1340
0	48	0	1340
0	64	320	1320
0	64	0	1360
0	62	-40	1300
0	62	0	1340
0	52	-200	1320
0	39	-260	1320
0	26	-260	1340
0	12	-280	1360
0	12	0	1360
0	-4	-320	1360
0	-18	-280	660
0	-22	-80	-300
0	-22	0	-940
0	-17	100	-1140
0	-9	160	-1240
0	-3	120	-1280
0	3	120	-1320
0	3	0	-640
0	11	160	420
0	0	-220	1080
0	-19	-380	720
0	-19	0	-100
0	-25	-120	-760
0	-11	280	-1160
0	1	240	-1240
0	12	220	-620
0	12	0	480
0	4	-160	1200
0	0	-80	1160
0	-8	-160	740
0	-12	-80	-160
0	-12	0	-760
0	-6	120	-880
0	3	180	-960
0	7	80	-260
0	7	0	700
0	7	0	1040
0	-4	-220	1140
0	-13	-180	380
0	-13	0	-560
0	-14	-20	-800
0	-3	220	-840
0	3	120	-960
0	11	160	-260
0	11	0	760
0	10	-20	1020
